Course Name: Spanish, Teacher Name: Sude Korkmaz, Room Name: Room-401, Time Slot: 2, Day: monday
Course Name: Spanish, Teacher Name: Sude Korkmaz, Room Name: Physics Lab-2, Time Slot: 1, Day: monday
Course Name: English, Teacher Name: Sude Korkmaz, Room Name: PC Lab-2, Time Slot: 1, Day: tuesday
Course Name: Spanish, Teacher Name: Semih Ozturk, Room Name: Room-401, Time Slot: 2, Day: tuesday
Course Name: Physics, Teacher Name: Poyraz Karayel, Room Name: Physics Lab-1, Time Slot: 3, Day: tuesday
Course Name: Physics, Teacher Name: Poyraz Karayel, Room Name: PC Lab-2, Time Slot: 3, Day: wednesday
Course Name: Physics, Teacher Name: Semih Ozturk, Room Name: Physics Lab-2, Time Slot: 0, Day: thursday
Course Name: Spanish, Teacher Name: Sude Korkmaz, Room Name: Room-202, Time Slot: 2, Day: thursday
Course Name: Spanish, Teacher Name: Sude Korkmaz, Room Name: PC Lab-1, Time Slot: 0, Day: thursday
Course Name: Spanish, Teacher Name: Ali Candan, Room Name: PC Lab-1, Time Slot: 0, Day: friday
Course Name: Physics, Teacher Name: Ali Candan, Room Name: Room-401, Time Slot: 1, Day: friday
Course Name: Spanish, Teacher Name: Poyraz Karayel, Room Name: Physics Lab-1, Time Slot: 2, Day: friday
Course Name: Programming Languages, Teacher Name: Sude Korkmaz, Room Name: Room-401, Time Slot: 0, Day: saturday
Course Name: English, Teacher Name: Semih Ozturk, Room Name: PC Lab-1, Time Slot: 2, Day: saturday
Course Name: Spanish, Teacher Name: Sude Korkmaz, Room Name: Physics Lab-1, Time Slot: 2, Day: friday
